,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Expected Retained Bits,Stratigraphic Column Mean Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Expected Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
397,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47643,47626,5001,5000,0.0,1024.0,0.99609375,0
398,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47643,47626,5001,5000,0.0,4096.0,1.0,0
399,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47643,47626,5001,5000,,,0.96875,128
400,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47643,47626,5001,5000,0.0,256.0,0.99609375,0
401,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47643,47626,5001,5000,0.0,4096.0,1.0,0
402,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47643,47626,5001,5000,0.0,40.0,0.96875,32
403,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47643,47626,5001,5000,0.0,64.0,0.99609375,0
404,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47643,47626,5001,5000,0.0,512.0,1.0,0
405,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47643,47626,5001,5000,,,0.96875,2048
406,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47643,47626,5001,5000,0.0,4096.0,0.99609375,0
407,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47643,47626,5001,5000,0.0,4096.0,1.0,0
408,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47643,47626,5001,5000,,,0.96875,512
409,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47643,47626,5001,5000,0.0,1024.0,0.99609375,0
410,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47643,47626,5001,5000,0.0,4096.0,1.0,0
411,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47643,47626,5001,5000,,,0.96875,64
412,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47643,47626,5001,5000,0.0,256.0,0.99609375,0
413,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47643,47626,5001,5000,0.0,4096.0,1.0,0
414,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47643,47633,5001,5000,,,0.96875,512
415,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47643,47633,5001,5000,0.0,1024.0,0.99609375,0
416,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47643,47633,5001,5000,0.0,4096.0,1.0,0
417,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47643,47633,5001,5000,0.0,160.0,0.96875,128
418,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47643,47633,5001,5000,0.0,256.0,0.99609375,0
419,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47643,47633,5001,5000,0.0,4096.0,1.0,0
420,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47643,47633,5001,5000,0.0,40.0,0.96875,32
421,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47643,47633,5001,5000,0.0,64.0,0.99609375,0
422,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47643,47633,5001,5000,0.0,512.0,1.0,0
423,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47643,47633,5001,5000,,,0.96875,2048
424,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47643,47633,5001,5000,0.0,4096.0,0.99609375,0
425,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47643,47633,5001,5000,0.0,4096.0,1.0,0
426,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47643,47633,5001,5000,,,0.96875,512
427,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47643,47633,5001,5000,0.0,1024.0,0.99609375,0
428,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47643,47633,5001,5000,0.0,4096.0,1.0,0
429,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47643,47633,5001,5000,,,0.96875,64
430,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47643,47633,5001,5000,0.0,256.0,0.99609375,0
431,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47643,47633,5001,5000,0.0,4096.0,1.0,0
432,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47642,47645,5001,5001,,,0.96875,512
433,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47642,47645,5001,5001,0.0,1024.0,0.99609375,0
434,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47642,47645,5001,5001,0.0,4096.0,1.0,0
435,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47642,47645,5001,5001,,,0.96875,128
436,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47642,47645,5001,5001,0.0,256.0,0.99609375,0
437,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47642,47645,5001,5001,0.0,4096.0,1.0,0
438,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47642,47645,5001,5001,,,0.96875,32
439,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47642,47645,5001,5001,0.0,64.0,0.99609375,0
440,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47642,47645,5001,5001,0.0,512.0,1.0,0
441,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47642,47645,5001,5001,,,0.96875,2048
442,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47642,47645,5001,5001,0.0,4096.0,0.99609375,0
443,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47642,47645,5001,5001,0.0,4096.0,1.0,0
444,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47642,47645,5001,5001,,,0.96875,512
445,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47642,47645,5001,5001,0.0,1024.0,0.99609375,0
446,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47642,47645,5001,5001,0.0,4096.0,1.0,0
447,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47642,47645,5001,5001,,,0.96875,64
448,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47642,47645,5001,5001,0.0,256.0,0.99609375,0
449,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47642,47645,5001,5001,0.0,4096.0,1.0,0
450,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47642,47644,5001,5001,,,0.96875,512
451,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47642,47644,5001,5001,0.0,1024.0,0.99609375,0
452,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47642,47644,5001,5001,0.0,4096.0,1.0,0
453,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47642,47644,5001,5001,,,0.96875,128
454,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47642,47644,5001,5001,0.0,256.0,0.99609375,0
455,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47642,47644,5001,5001,0.0,4096.0,1.0,0
456,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47642,47644,5001,5001,,,0.96875,32
457,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47642,47644,5001,5001,0.0,64.0,0.99609375,0
458,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47642,47644,5001,5001,0.0,512.0,1.0,0
459,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47642,47644,5001,5001,,,0.96875,2048
460,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47642,47644,5001,5001,0.0,4096.0,0.99609375,0
461,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47642,47644,5001,5001,0.0,4096.0,1.0,0
462,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47642,47644,5001,5001,,,0.96875,512
463,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47642,47644,5001,5001,0.0,1024.0,0.99609375,0
464,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47642,47644,5001,5001,0.0,4096.0,1.0,0
465,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47642,47644,5001,5001,,,0.96875,64
466,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47642,47644,5001,5001,0.0,256.0,0.99609375,0
467,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47642,47644,5001,5001,0.0,4096.0,1.0,0
468,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47642,47643,5001,5001,,,0.96875,512
469,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47642,47643,5001,5001,0.0,1024.0,0.99609375,0
470,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47642,47643,5001,5001,0.0,4096.0,1.0,0
471,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47642,47643,5001,5001,,,0.96875,128
